k_1: 40, k_3: 40, e: 0.00500, score: 0.27454477 
k_1: 40, k_3: 40, e: 0.01000, score: 0.26449009 
k_1: 40, k_3: 50, e: 0.00050, score: 0.16921789 
k_1: 40, k_3: 50, e: 0.00100, score: 0.28231029 
k_1: 40, k_3: 50, e: 0.00500, score: 0.27556380 
k_1: 40, k_3: 50, e: 0.01000, score: 0.26918483 
k_1: 40, k_3: 75, e: 0.00050, score: 0.29087888 
k_1: 40, k_3: 75, e: 0.00100, score: 0.32683749 
k_1: 40, k_3: 75, e: 0.00500, score: 0.15449860 
k_1: 40, k_3: 75, e: 0.01000, score: 0.16004664 
k_1: 40, k_3: 100, e: 0.00050, score: 0.28931382 
k_1: 40, k_3: 100, e: 0.00100, score: 0.40600432 
k_1: 40, k_3: 100, e: 0.00500, score: 0.27185704 
k_1: 40, k_3: 100, e: 0.01000, score: 0.26323731 
k_1: 50, k_3: 10, e: 0.00050, score: 0.61919104 
k_1: 50, k_3: 10, e: 0.00100, score: 0.16822443 
k_1: 50, k_3: 10, e: 0.00500, score: 0.16203174 
k_1: 50, k_3: 10, e: 0.01000, score: 0.16366620 
k_1: 50, k_3: 20, e: 0.00050, score: 0.16937540 
k_1: 50, k_3: 20, e: 0.00100, score: 0.16145830 
k_1: 50, k_3: 20, e: 0.00500, score: 0.35109965 
k_1: 50, k_3: 20, e: 0.01000, score: 0.27265281 
k_1: 50, k_3: 30, e: 0.00050, score: 0.16609278 
k_1: 50, k_3: 30, e: 0.00100, score: 0.16472677 
k_1: 50, k_3: 30, e: 0.00500, score: 0.15790951 
k_1: 50, k_3: 30, e: 0.01000, score: 0.26441111 
k_1: 50, k_3: 40, e: 0.00050, score: 0.32702057 
k_1: 50, k_3: 40, e: 0.00100, score: 0.29089486 
k_1: 50, k_3: 40, e: 0.00500, score: 0.27973304 
k_1: 50, k_3: 40, e: 0.01000, score: 0.27237660 
k_1: 50, k_3: 50, e: 0.00050, score: 0.32765837 
k_1: 50, k_3: 50, e: 0.00100, score: 0.28834364 
k_1: 50, k_3: 50, e: 0.00500, score: 0.27832138 
k_1: 50, k_3: 50, e: 0.01000, score: 0.27151965 
k_1: 50, k_3: 75, e: 0.00050, score: 0.29370541 
k_1: 50, k_3: 75, e: 0.00100, score: 0.28701005 
k_1: 50, k_3: 75, e: 0.00500, score: 0.16049909 
k_1: 50, k_3: 75, e: 0.01000, score: 0.27273271 
k_1: 50, k_3: 100, e: 0.00050, score: 0.29487692 
k_1: 50, k_3: 100, e: 0.00100, score: 0.28681419 
k_1: 50, k_3: 100, e: 0.00500, score: 0.27242225 
k_1: 50, k_3: 100, e: 0.01000, score: 0.26337565 
k_1: 75, k_3: 10, e: 0.00050, score: 0.19370102 
k_1: 75, k_3: 10, e: 0.00100, score: 0.19308787 
k_1: 75, k_3: 10, e: 0.00500, score: 0.16588003 
k_1: 75, k_3: 10, e: 0.01000, score: 0.28130952 
k_1: 75, k_3: 20, e: 0.00050, score: 0.17845716 
k_1: 75, k_3: 20, e: 0.00100, score: 0.17090714 
k_1: 75, k_3: 20, e: 0.00500, score: 0.16400679 
k_1: 75, k_3: 20, e: 0.01000, score: 0.27961114 
k_1: 75, k_3: 30, e: 0.00050, score: 0.18092529 
k_1: 75, k_3: 30, e: 0.00100, score: 0.17116417 
k_1: 75, k_3: 30, e: 0.00500, score: 0.28074751 
k_1: 75, k_3: 30, e: 0.01000, score: 0.16823310 
k_1: 75, k_3: 40, e: 0.00050, score: 0.38024146 
k_1: 75, k_3: 40, e: 0.00100, score: 0.37074332 
k_1: 75, k_3: 40, e: 0.00500, score: 0.34994229 
k_1: 75, k_3: 40, e: 0.01000, score: 0.27746123 
k_1: 75, k_3: 50, e: 0.00050, score: 0.31360155 
k_1: 75, k_3: 50, e: 0.00100, score: 0.16438755 
k_1: 75, k_3: 50, e: 0.00500, score: 0.28473048 
