k_1: 20, k_2: 20, k_3: 10, e: 0.00500, score: 0.10884058 
k_1: 20, k_2: 20, k_3: 20, e: 0.00500, score: 0.05346711 
k_1: 20, k_2: 20, k_3: 30, e: 0.00500, score: 0.04159420 
k_1: 20, k_2: 20, k_3: 40, e: 0.00500, score: 0.04162765 
k_1: 20, k_2: 20, k_3: 50, e: 0.00500, score: 0.04497213 
k_1: 20, k_2: 20, k_3: 60, e: 0.00500, score: 0.04090858 
k_1: 20, k_2: 20, k_3: 70, e: 0.00500, score: 0.04178930 
k_1: 20, k_2: 20, k_3: 80, e: 0.00500, score: 0.04484392 
k_1: 20, k_2: 20, k_3: 90, e: 0.00500, score: 0.04193980 
k_1: 20, k_2: 20, k_3: 100, e: 0.00500, score: 0.03687291 
