k_1: 10, k_2: 50, k_3: 50, e: 0.00500, score: 0.01090858 
k_1: 20, k_2: 50, k_3: 50, e: 0.00500, score: 0.01019509 
k_1: 30, k_2: 50, k_3: 50, e: 0.00500, score: 0.01034002 
k_1: 40, k_2: 50, k_3: 50, e: 0.00500, score: 0.01027313 
k_1: 50, k_2: 50, k_3: 50, e: 0.00500, score: 0.01039019 
k_1: 60, k_2: 50, k_3: 50, e: 0.00500, score: 0.01042921 
k_1: 70, k_2: 50, k_3: 50, e: 0.00500, score: 0.01032887 
k_1: 80, k_2: 50, k_3: 50, e: 0.00500, score: 0.01040134 
k_1: 90, k_2: 50, k_3: 50, e: 0.00500, score: 0.01031215 
k_1: 100, k_2: 50, k_3: 50, e: 0.00500, score: 0.01050167 
