k_1: 10, k_2: 20, k_3: 50, e: 0.00500, score: 0.04482720 
k_1: 20, k_2: 20, k_3: 50, e: 0.00500, score: 0.04478261 
k_1: 30, k_2: 20, k_3: 50, e: 0.00500, score: 0.04323857 
k_1: 40, k_2: 20, k_3: 50, e: 0.00500, score: 0.04382386 
k_1: 50, k_2: 20, k_3: 50, e: 0.00500, score: 0.04452620 
k_1: 60, k_2: 20, k_3: 50, e: 0.00500, score: 0.04412486 
k_1: 70, k_2: 20, k_3: 50, e: 0.00500, score: 0.04442029 
k_1: 80, k_2: 20, k_3: 50, e: 0.00500, score: 0.04495541 
k_1: 90, k_2: 20, k_3: 50, e: 0.00500, score: 0.04424192 
k_1: 100, k_2: 20, k_3: 50, e: 0.00500, score: 0.04408027 
