k_1: 10, k_2: 30, k_3: 100, e: 0.00500, score: 0.01102007 
k_1: 10, k_2: 30, k_3: 100, e: 0.01000, score: 0.01371237 
k_1: 10, k_2: 40, k_3: 10, e: 0.00050, score: 0.59674470 
k_1: 10, k_2: 40, k_3: 10, e: 0.00100, score: 0.59305463 
k_1: 10, k_2: 40, k_3: 10, e: 0.00500, score: 0.58891304 
k_1: 10, k_2: 40, k_3: 10, e: 0.01000, score: 0.61692865 
k_1: 10, k_2: 40, k_3: 20, e: 0.00050, score: 0.42255853 
k_1: 10, k_2: 40, k_3: 20, e: 0.00100, score: 0.41365663 
k_1: 10, k_2: 40, k_3: 20, e: 0.00500, score: 0.41467113 
k_1: 10, k_2: 40, k_3: 20, e: 0.01000, score: 0.44962096 
k_1: 10, k_2: 40, k_3: 30, e: 0.00050, score: 0.01078038 
k_1: 10, k_2: 40, k_3: 30, e: 0.00100, score: 0.01102007 
k_1: 10, k_2: 40, k_3: 30, e: 0.00500, score: 0.39075808 
k_1: 10, k_2: 40, k_3: 30, e: 0.01000, score: 0.39456522 
k_1: 10, k_2: 40, k_3: 40, e: 0.00050, score: 0.01092531 
k_1: 10, k_2: 40, k_3: 40, e: 0.00100, score: 0.01112598 
k_1: 10, k_2: 40, k_3: 40, e: 0.00500, score: 0.01152731 
k_1: 10, k_2: 40, k_3: 40, e: 0.01000, score: 0.01290970 
k_1: 10, k_2: 40, k_3: 50, e: 0.00050, score: 0.38967113 
k_1: 10, k_2: 40, k_3: 50, e: 0.00100, score: 0.38965440 
k_1: 10, k_2: 40, k_3: 50, e: 0.00500, score: 0.39254738 
k_1: 10, k_2: 40, k_3: 50, e: 0.01000, score: 0.39993868 
k_1: 10, k_2: 40, k_3: 75, e: 0.00050, score: 0.01254738 
k_1: 10, k_2: 40, k_3: 75, e: 0.00100, score: 0.01007246 
k_1: 10, k_2: 40, k_3: 75, e: 0.00500, score: 0.01109810 
k_1: 10, k_2: 40, k_3: 75, e: 0.01000, score: 0.01500557 
k_1: 10, k_2: 40, k_3: 100, e: 0.00050, score: 0.01160535 
k_1: 10, k_2: 40, k_3: 100, e: 0.00100, score: 0.01075251 
k_1: 10, k_2: 40, k_3: 100, e: 0.00500, score: 0.01100334 
k_1: 10, k_2: 40, k_3: 100, e: 0.01000, score: 0.01375139 
k_1: 10, k_2: 50, k_3: 10, e: 0.00050, score: 0.59686176 
k_1: 10, k_2: 50, k_3: 10, e: 0.00100, score: 0.59423634 
k_1: 10, k_2: 50, k_3: 10, e: 0.00500, score: 0.59020067 
k_1: 10, k_2: 50, k_3: 10, e: 0.01000, score: 0.61970457 
k_1: 10, k_2: 50, k_3: 20, e: 0.00050, score: 0.42245819 
k_1: 10, k_2: 50, k_3: 20, e: 0.00100, score: 0.42289855 
k_1: 10, k_2: 50, k_3: 20, e: 0.00500, score: 0.41477703 
k_1: 10, k_2: 50, k_3: 20, e: 0.01000, score: 0.41677258 
k_1: 10, k_2: 50, k_3: 30, e: 0.00050, score: 0.01071906 
k_1: 10, k_2: 50, k_3: 30, e: 0.00100, score: 0.01087514 
k_1: 10, k_2: 50, k_3: 30, e: 0.00500, score: 0.39076923 
k_1: 10, k_2: 50, k_3: 30, e: 0.01000, score: 0.39455407 
k_1: 10, k_2: 50, k_3: 40, e: 0.00050, score: 0.01127648 
k_1: 10, k_2: 50, k_3: 40, e: 0.00100, score: 0.01098105 
