k_1: 20, k_2: 20, k_3: 10, e: 0.00500, score: 0.59107581 
k_1: 20, k_2: 20, k_3: 20, e: 0.00500, score: 0.01297659 
k_1: 20, k_2: 20, k_3: 30, e: 0.00500, score: 0.01110368 
k_1: 20, k_2: 20, k_3: 40, e: 0.00500, score: 0.01056299 
k_1: 20, k_2: 20, k_3: 50, e: 0.00500, score: 0.01027313 
k_1: 20, k_2: 20, k_3: 60, e: 0.00500, score: 0.00948161 
k_1: 20, k_2: 20, k_3: 70, e: 0.00500, score: 0.00992196 
k_1: 20, k_2: 20, k_3: 80, e: 0.00500, score: 0.01057414 
k_1: 20, k_2: 20, k_3: 90, e: 0.00500, score: 0.00929766 
k_1: 20, k_2: 20, k_3: 100, e: 0.00500, score: 0.00973802 
