k_1: 20, k_2: 10, k_3: 50, e: 0.00500, score: 0.04378484 
k_1: 20, k_2: 20, k_3: 50, e: 0.00500, score: 0.04486065 
k_1: 20, k_2: 30, k_3: 50, e: 0.00500, score: 0.04579710 
k_1: 20, k_2: 40, k_3: 50, e: 0.00500, score: 0.04665552 
k_1: 20, k_2: 50, k_3: 50, e: 0.00500, score: 0.04648829 
k_1: 20, k_2: 60, k_3: 50, e: 0.00500, score: 0.04576923 
k_1: 20, k_2: 70, k_3: 50, e: 0.00500, score: 0.04622074 
k_1: 20, k_2: 80, k_3: 50, e: 0.00500, score: 0.04602564 
k_1: 20, k_2: 90, k_3: 50, e: 0.00500, score: 0.04620959 
k_1: 20, k_2: 100, k_3: 50, e: 0.00500, score: 0.04603679 
