k_1: 20, k_2: 10, k_3: 50, e: 0.00500, score: 0.01073021 
k_1: 20, k_2: 20, k_3: 50, e: 0.00500, score: 0.01064660 
k_1: 20, k_2: 30, k_3: 50, e: 0.00500, score: 0.01030100 
k_1: 20, k_2: 40, k_3: 50, e: 0.00500, score: 0.01013935 
k_1: 20, k_2: 50, k_3: 50, e: 0.00500, score: 0.01058528 
k_1: 20, k_2: 60, k_3: 50, e: 0.00500, score: 0.01018952 
k_1: 20, k_2: 70, k_3: 50, e: 0.00500, score: 0.01060201 
k_1: 20, k_2: 80, k_3: 50, e: 0.00500, score: 0.01018395 
k_1: 20, k_2: 90, k_3: 50, e: 0.00500, score: 0.01023969 
k_1: 20, k_2: 100, k_3: 50, e: 0.00500, score: 0.39192308 
