k_1: 10, k_2: 30, k_3: 100, e: 0.00500, score: 0.03910256 
k_1: 10, k_2: 30, k_3: 100, e: 0.01000, score: 0.04678372 
k_1: 10, k_2: 40, k_3: 10, e: 0.00050, score: 0.07584727 
k_1: 10, k_2: 40, k_3: 10, e: 0.00100, score: 0.10163322 
k_1: 10, k_2: 40, k_3: 10, e: 0.00500, score: 0.07855630 
k_1: 10, k_2: 40, k_3: 10, e: 0.01000, score: 0.08061873 
k_1: 10, k_2: 40, k_3: 20, e: 0.00050, score: 0.04321070 
k_1: 10, k_2: 40, k_3: 20, e: 0.00100, score: 0.04464326 
k_1: 10, k_2: 40, k_3: 20, e: 0.00500, score: 0.04277035 
k_1: 10, k_2: 40, k_3: 20, e: 0.01000, score: 0.06523969 
k_1: 10, k_2: 40, k_3: 30, e: 0.00050, score: 0.03984950 
k_1: 10, k_2: 40, k_3: 30, e: 0.00100, score: 0.03897436 
k_1: 10, k_2: 40, k_3: 30, e: 0.00500, score: 0.04411929 
k_1: 10, k_2: 40, k_3: 30, e: 0.01000, score: 0.05972687 
k_1: 10, k_2: 40, k_3: 40, e: 0.00050, score: 0.04402453 
k_1: 10, k_2: 40, k_3: 40, e: 0.00100, score: 0.04279822 
k_1: 10, k_2: 40, k_3: 40, e: 0.00500, score: 0.04687848 
k_1: 10, k_2: 40, k_3: 40, e: 0.01000, score: 0.07072464 
k_1: 10, k_2: 40, k_3: 50, e: 0.00050, score: 0.03803790 
k_1: 10, k_2: 40, k_3: 50, e: 0.00100, score: 0.03731327 
k_1: 10, k_2: 40, k_3: 50, e: 0.00500, score: 0.04910814 
k_1: 10, k_2: 40, k_3: 50, e: 0.01000, score: 0.08508919 
k_1: 10, k_2: 40, k_3: 75, e: 0.00050, score: 0.04309922 
k_1: 10, k_2: 40, k_3: 75, e: 0.00100, score: 0.03607581 
k_1: 10, k_2: 40, k_3: 75, e: 0.00500, score: 0.05266444 
k_1: 10, k_2: 40, k_3: 75, e: 0.01000, score: 0.09099777 
k_1: 10, k_2: 40, k_3: 100, e: 0.00050, score: 0.04004459 
k_1: 10, k_2: 40, k_3: 100, e: 0.00100, score: 0.03880713 
k_1: 10, k_2: 40, k_3: 100, e: 0.00500, score: 0.04022297 
k_1: 10, k_2: 40, k_3: 100, e: 0.01000, score: 0.04711817 
k_1: 10, k_2: 50, k_3: 10, e: 0.00050, score: 0.09484950 
k_1: 10, k_2: 50, k_3: 10, e: 0.00100, score: 0.08602564 
k_1: 10, k_2: 50, k_3: 10, e: 0.00500, score: 0.07162207 
k_1: 10, k_2: 50, k_3: 10, e: 0.01000, score: 0.08402453 
k_1: 10, k_2: 50, k_3: 20, e: 0.00050, score: 0.04637681 
k_1: 10, k_2: 50, k_3: 20, e: 0.00100, score: 0.04455407 
k_1: 10, k_2: 50, k_3: 20, e: 0.00500, score: 0.04619844 
k_1: 10, k_2: 50, k_3: 20, e: 0.01000, score: 0.05181159 
k_1: 10, k_2: 50, k_3: 30, e: 0.00050, score: 0.04074693 
k_1: 10, k_2: 50, k_3: 30, e: 0.00100, score: 0.03919175 
k_1: 10, k_2: 50, k_3: 30, e: 0.00500, score: 0.04498328 
k_1: 10, k_2: 50, k_3: 30, e: 0.01000, score: 0.05828874 
k_1: 10, k_2: 50, k_3: 40, e: 0.00050, score: 0.04443701 
k_1: 10, k_2: 50, k_3: 40, e: 0.00100, score: 0.04352285 
k_1: 10, k_2: 50, k_3: 40, e: 0.00500, score: 0.04613712 
k_1: 10, k_2: 50, k_3: 40, e: 0.01000, score: 0.07241918 
k_1: 10, k_2: 50, k_3: 50, e: 0.00050, score: 0.03790412 
k_1: 10, k_2: 50, k_3: 50, e: 0.00100, score: 0.03789298 
k_1: 10, k_2: 50, k_3: 50, e: 0.00500, score: 0.04893534 
k_1: 10, k_2: 50, k_3: 50, e: 0.01000, score: 0.08379041 
k_1: 10, k_2: 50, k_3: 75, e: 0.00050, score: 0.04218506 
k_1: 10, k_2: 50, k_3: 75, e: 0.00100, score: 0.03647715 
k_1: 10, k_2: 50, k_3: 75, e: 0.00500, score: 0.05024526 
k_1: 10, k_2: 50, k_3: 75, e: 0.01000, score: 0.09061873 
k_1: 10, k_2: 50, k_3: 100, e: 0.00050, score: 0.03958194 
k_1: 10, k_2: 50, k_3: 100, e: 0.00100, score: 0.03826644 
k_1: 10, k_2: 50, k_3: 100, e: 0.00500, score: 0.04017280 
k_1: 10, k_2: 50, k_3: 100, e: 0.01000, score: 0.04746934 
k_1: 10, k_2: 75, k_3: 10, e: 0.00050, score: 0.10157191 
k_1: 10, k_2: 75, k_3: 10, e: 0.00100, score: 0.09573021 
k_1: 10, k_2: 75, k_3: 10, e: 0.00500, score: 0.08783724 
k_1: 10, k_2: 75, k_3: 10, e: 0.01000, score: 0.08602007 
k_1: 10, k_2: 75, k_3: 20, e: 0.00050, score: 0.04483278 
k_1: 10, k_2: 75, k_3: 20, e: 0.00100, score: 0.04306577 
k_1: 10, k_2: 75, k_3: 20, e: 0.00500, score: 0.04409142 
k_1: 10, k_2: 75, k_3: 20, e: 0.01000, score: 0.05322185 
k_1: 10, k_2: 75, k_3: 30, e: 0.00050, score: 0.03909142 
k_1: 10, k_2: 75, k_3: 30, e: 0.00100, score: 0.04073579 
k_1: 10, k_2: 75, k_3: 30, e: 0.00500, score: 0.04584727 
k_1: 10, k_2: 75, k_3: 30, e: 0.01000, score: 0.05953177 
k_1: 10, k_2: 75, k_3: 40, e: 0.00050, score: 0.04487737 
k_1: 10, k_2: 75, k_3: 40, e: 0.00100, score: 0.04319955 
k_1: 10, k_2: 75, k_3: 40, e: 0.00500, score: 0.04747492 
k_1: 10, k_2: 75, k_3: 40, e: 0.01000, score: 0.07125975 
k_1: 10, k_2: 75, k_3: 50, e: 0.00050, score: 0.03831661 
k_1: 10, k_2: 75, k_3: 50, e: 0.00100, score: 0.03851171 
k_1: 10, k_2: 75, k_3: 50, e: 0.00500, score: 0.04942029 
k_1: 10, k_2: 75, k_3: 50, e: 0.01000, score: 0.08358974 
k_1: 10, k_2: 75, k_3: 75, e: 0.00050, score: 0.04279264 
k_1: 10, k_2: 75, k_3: 75, e: 0.00100, score: 0.03648829 
k_1: 10, k_2: 75, k_3: 75, e: 0.00500, score: 0.05040134 
k_1: 10, k_2: 75, k_3: 75, e: 0.01000, score: 0.09098662 
k_1: 10, k_2: 75, k_3: 100, e: 0.00050, score: 0.04132107 
k_1: 10, k_2: 75, k_3: 100, e: 0.00100, score: 0.03867336 
k_1: 10, k_2: 75, k_3: 100, e: 0.00500, score: 0.03944259 
k_1: 10, k_2: 75, k_3: 100, e: 0.01000, score: 0.04568562 
k_1: 10, k_2: 100, k_3: 10, e: 0.00050, score: 0.08788740 
k_1: 10, k_2: 100, k_3: 10, e: 0.00100, score: 0.09327202 
k_1: 10, k_2: 100, k_3: 10, e: 0.00500, score: 0.09574136 
k_1: 10, k_2: 100, k_3: 10, e: 0.01000, score: 0.08187848 
k_1: 10, k_2: 100, k_3: 20, e: 0.00050, score: 0.04323857 
k_1: 10, k_2: 100, k_3: 20, e: 0.00100, score: 0.04474916 
k_1: 10, k_2: 100, k_3: 20, e: 0.00500, score: 0.04280936 
k_1: 10, k_2: 100, k_3: 20, e: 0.01000, score: 0.06803790 
k_1: 10, k_2: 100, k_3: 30, e: 0.00050, score: 0.04105909 
k_1: 10, k_2: 100, k_3: 30, e: 0.00100, score: 0.03880156 
k_1: 10, k_2: 100, k_3: 30, e: 0.00500, score: 0.04425307 
k_1: 10, k_2: 100, k_3: 30, e: 0.01000, score: 0.05910256 
k_1: 10, k_2: 100, k_3: 40, e: 0.00050, score: 0.04438127 
k_1: 10, k_2: 100, k_3: 40, e: 0.00100, score: 0.04226310 
k_1: 10, k_2: 100, k_3: 40, e: 0.00500, score: 0.04631550 
k_1: 10, k_2: 100, k_3: 40, e: 0.01000, score: 0.07026756 
k_1: 10, k_2: 100, k_3: 50, e: 0.00050, score: 0.03865106 
k_1: 10, k_2: 100, k_3: 50, e: 0.00100, score: 0.03727425 
k_1: 10, k_2: 100, k_3: 50, e: 0.00500, score: 0.04876812 
k_1: 10, k_2: 100, k_3: 50, e: 0.01000, score: 0.08280379 
k_1: 10, k_2: 100, k_3: 75, e: 0.00050, score: 0.03704571 
k_1: 10, k_2: 100, k_3: 75, e: 0.00100, score: 0.04118172 
k_1: 10, k_2: 100, k_3: 75, e: 0.00500, score: 0.05127090 
k_1: 10, k_2: 100, k_3: 75, e: 0.01000, score: 0.09094203 
k_1: 10, k_2: 100, k_3: 100, e: 0.00050, score: 0.04001672 
k_1: 10, k_2: 100, k_3: 100, e: 0.00100, score: 0.03806020 
k_1: 10, k_2: 100, k_3: 100, e: 0.00500, score: 0.03954292 
k_1: 10, k_2: 100, k_3: 100, e: 0.01000, score: 0.04739688 
k_1: 20, k_2: 10, k_3: 10, e: 0.00050, score: 0.08347269 
k_1: 20, k_2: 10, k_3: 10, e: 0.00100, score: 0.05045151 
k_1: 20, k_2: 10, k_3: 10, e: 0.00500, score: 0.06371237 
k_1: 20, k_2: 10, k_3: 10, e: 0.01000, score: 0.08172798 
k_1: 20, k_2: 10, k_3: 20, e: 0.00050, score: 0.04556299 
k_1: 20, k_2: 10, k_3: 20, e: 0.00100, score: 0.04596433 
k_1: 20, k_2: 10, k_3: 20, e: 0.00500, score: 0.04850056 
k_1: 20, k_2: 10, k_3: 20, e: 0.01000, score: 0.05949275 
k_1: 20, k_2: 10, k_3: 30, e: 0.00050, score: 0.03871795 
k_1: 20, k_2: 10, k_3: 30, e: 0.00100, score: 0.03800446 
k_1: 20, k_2: 10, k_3: 30, e: 0.00500, score: 0.04204013 
k_1: 20, k_2: 10, k_3: 30, e: 0.01000, score: 0.05872910 
k_1: 20, k_2: 10, k_3: 40, e: 0.00050, score: 0.04213489 
k_1: 20, k_2: 10, k_3: 40, e: 0.00100, score: 0.04117057 
k_1: 20, k_2: 10, k_3: 40, e: 0.00500, score: 0.04595875 
k_1: 20, k_2: 10, k_3: 40, e: 0.01000, score: 0.06922520 
k_1: 20, k_2: 10, k_3: 50, e: 0.00050, score: 0.03785396 
k_1: 20, k_2: 10, k_3: 50, e: 0.00100, score: 0.03642698 
k_1: 20, k_2: 10, k_3: 50, e: 0.00500, score: 0.04701784 
k_1: 20, k_2: 10, k_3: 50, e: 0.01000, score: 0.08002787 
k_1: 20, k_2: 10, k_3: 75, e: 0.00050, score: 0.04008361 
